WINDOW_ID(PK)	FRONT_LANG(PK)	LANG(PK)	OPTION_VALUE(PK)	LANG_VALUE	REGIST_USER	REGIST_DATE	UPDATE_USER	UPDATE_DATE	UPDATE_CNT	DEL_FLG
W001	LOGIN	ENG	0	LOGIN	SYSTEM	2021-08-21 14:43:51.0	SYSTEM	2021-08-21 14:43:51.0	0	0
W001	LOGIN	KOR	0	로그인	SYSTEM	2021-08-21 14:43:48.0	SYSTEM	2021-08-21 14:43:48.0	0	0
